식당명,주소1,주소2,위도,경도,행정동,,
제일숯불막창 본점,대구 수성구 동대구로29길 31,(지번) 황금동 841-2,35.8433075,128.6234081,황금2동,,
오리의하루,대구 수성구 청호로 235-14 1층,(지번) 황금동 349-1,35.8380251,128.6392035,황금1동,,
하늘타리 황금점,대구 수성구 동대구로 120,(지번) 황금동 543-7,35.84097105,128.6250188,황금2동,,
밤새우는닭 범어직영점,대구 수성구 범어천로 32,(지번) 황금동 675-1,35.84969155,128.6235414,황금2동,,
우연1972,대구 수성구 동대구로38길 33,(지번) 황금동 651,35.84759944,128.6265608,황금2동,,
대구뭉티기,대구 수성구 희망로36길 130-11,(지번) 황금동 796-5,35.84445326,128.6225041,황금2동,,
브라더막창,대구 수성구 동대구로29길 40,(지번) 황금동 838-1,35.84297939,128.622701,황금2동,,
우리소가든,대구 수성구 청수로 91-6,(지번) 황금동 889-11,35.8407558,128.6183936,황금2동,,
산갈래닭갈비 황금점,대구 수성구 범어천로 32-1,(지번) 황금동 675-4,35.84981853,128.623574,황금2동,,
램스,대구 수성구 범어천로 18,(지번) 황금동 681-3,35.84862462,128.6237398,황금2동,,
명동식육식당,대구 수성구 희망로 218-1,(지번) 황금동 773-12,35.84617494,128.6227137,황금2동,,
황금한우숯불갈비살,대구 수성구 범어천로 25-1,(지번) 황금동 703-11,35.8493352,128.6229311,황금2동,,
제주명성돈,대구 수성구 범어천로 22,(지번) 황금동 680-12,35.84901842,128.6235064,황금2동,,
바베큐하우스오크,대구 수성구 청호로 242-1,(지번) 황금동 249-2,35.83909809,128.6401936,황금1동,,
원조선산대한곱창 수성점,대구 수성구 범어천로 23-3,(지번) 황금동 702-1,35.8489714,128.6228648,황금2동,,
구오돼지,대구 수성구 들안로32길 109 상가1층,(지번) 황금동 796-8,35.84423388,128.6230071,황금2동,,
코끼리식육식당 황금점,대구 수성구 청수로 107 2층,(지번) 황금동 889-1,35.84055476,128.6200644,황금2동,,
일등양 황금점,대구 수성구 희망로 228 1층,(지번) 황금동 775-4,35.84604751,128.6236613,황금2동,,
수성족발 본점,대구 수성구 범어천로 23,(지번) 황금동 702-14,35.84895108,128.6229881,황금2동,,
봉이돌양곱창,대구 수성구 희망로 214 1층,(지번) 황금동 773-21,35.84618278,128.6220933,황금2동,,
숯댕이 숯불닭구이,대구 수성구 들안로 172 1층,(지번) 황금동 813-5,35.84525536,128.6173052,황금2동,,
수성관뭉티기,대구 수성구 희망로 169,(지번) 황금동 756,35.84693966,128.6173539,황금2동,,
대복한우리식육식당,대구 수성구 청솔로4길 60,(지번) 황금동 690-15,35.84758611,128.6236887,황금2동,,
고기만세,대구 수성구 청수로45길 48-9,(지번) 황금동 416-1,35.84252434,128.6334118,황금1동,,
오늘도찜닭 대구수성본점,대구 수성구 청솔로 36 1층,(지번) 황금동 731-27,35.84967714,128.6206578,황금2동,,
수내닭꼬치 대구황금점,대구 수성구 동대구로29길 56,(지번) 황금동 851-13,35.84225345,128.6229398,황금2동,,
박재현한우,대구 수성구 청솔로 46,(지번) 황금동 707,35.85054979,128.6207459,황금2동,,
대구상회,대구 수성구 청수로45길 48-9 1층,(지번) 황금동 418,35.84252434,128.6334118,황금1동,,
황금동삼겹살,대구 수성구 청솔로6길 15-10 1층,(지번) 황금동 702-10,35.84905919,128.6214682,황금2동,,
감성족발 대구황금점,대구 수성구 희망로36길 122 1층,(지번) 황금동 794-9,35.84474636,128.6232142,황금2동,,
두찜 대구두산황금점,대구 수성구 청솔로 23-4 1층,(지번) 황금동 725-7,35.84872093,128.6198835,황금2동,,
박가뒷고기,대구 수성구 희망로 196,(지번) 황금동 770-3,35.84633514,128.6200918,황금2동,,
미소,대구 수성구 청수로45길 163-5,(지번) 황금동 973,35.84197526,128.6316755,황금1동,,
초원한우,대구 수성구 청수로 91-6,(지번) 황금동 889-11,35.8407558,128.6183936,황금2동,,
귀신닭발 본점,대구 수성구 들안로32길 103,(지번) 황금동 796-18,35.8442174,128.6227129,황금2동,,
청춘족발 수성점,대구 수성구 들안로32길 97,(지번) 황금동 796-13,35.84424014,128.6222437,황금2동,,
전서방닭갈비,대구 수성구 청솔로 26,(지번) 황금동 731-1,35.84879766,128.6205816,황금2동,,
족발팩토리,대구 수성구 동대구로 201-8,(지번) 황금동 681-1,35.84846993,128.6239506,황금2동,,
진생삼겹살,대구 수성구 청솔로 23-2 1층,(지번) 황금동 729-10,35.8487064,128.6201256,황금2동,,
참좋은한우식육식당,대구 수성구 청솔로 26 1층,(지번) 황금동 731-1,35.84879766,128.6205816,황금2동,,
청동유황오리,대구 수성구 들안로28길 78-3,(지번) 황금동 806-10,35.84530345,128.618144,황금2동,,
박군삼겹살,대구 수성구 희망로 196,(지번) 황금동 770-3,35.84633514,128.6200918,황금2동,,
대구찜닭,대구 수성구 들안로 166-1,(지번) 황금동 814-5,35.84485322,128.6170477,황금2동,,
달구지막창 황금점,대구 수성구 동대구로 149 코아시스상가 105동 110호,(지번) 황금동 843-1,35.84371703,128.6239175,황금2동,,
승미생고기,대구 수성구 청수로25길 110-5,(지번) 황금동 880-5,35.84166074,128.6181919,황금2동,,
황금돼지뒷고기,대구 수성구 청솔로 25,(지번) 황금동 729-9,35.84884008,128.6203432,황금2동,,
한우뭉티기하시래예,대구 수성구 희망로 169,(지번) 황금동 756-7,35.84693966,128.6173539,황금2동,,
우향생고기,대구 수성구 희망로 169,(지번) 황금동 756-7,35.84693966,128.6173539,황금2동,,
패밀리찜닭 본점,대구 수성구 들안로32길 33,(지번) 황금동 809-16,35.8444751,128.6186872,황금2동,,
짱숯불아니고,대구 수성구 범어천로 23-7,(지번) 황금동 702-3,35.8489685,128.6225922,황금2동,,
송화안동찜닭,대구 수성구 청솔로 26,(지번) 황금동 731-1,35.84879766,128.6205816,황금2동,,
백번씹는삼겹살집,대구 수성구 청솔로 23-2,(지번) 황금동 729-10,35.8487064,128.6201256,황금2동,,
오늘도삼겹,대구 수성구 청솔로 36,(지번) 황금동 731-27,35.84967714,128.6206578,황금2동,,
고기파는남자,대구 수성구 청수로25길 48-18,(지번) 황금동 853-1,35.84197322,128.6209353,황금2동,,
먹어야산닭 황금본점,대구 수성구 들안로46길 8,(지번) 황금동 708-15,35.85073311,128.6173535,황금2동,,
팔공산호박오리 수성점,대구 수성구 팔현길 130,(지번) 고모동 89-1,35.86938833,128.6664836,고산2동,,
다정한,대구 수성구 고모로 187,(지번) 고모동 339-1,35.85623906,128.6786708,고산2동,,
산너머산아래,대구 수성구 고모로 349-16,(지번) 고모동 105,35.8663218,128.666202,고산2동,,
산너머그집,대구 수성구 팔현길 126-8,(지번) 고모동 88,35.86955959,128.6670123,고산2동,,
채담은,대구 수성구 노변로 75-4,(지번) 노변동 152-6,35.83811448,128.6997687,고산2동,,
달맞이,대구 수성구 고산로 75,(지번) 노변동 71-1,35.83743919,128.7037816,고산2동,,
낙동생오리 시지점,대구 수성구 노변로 101,(지번) 노변동 14-3,35.84050269,128.7005302,고산2동,,
최유선암소식육식당,대구 수성구 노변공원로 79,(지번) 노변동 334-2,35.83508885,128.6981935,고산2동,,
대구반야월막창 대구노변점,대구 수성구 노변로 69,(지번) 노변동 264-1,35.83775933,128.6999034,고산2동,,
서민갈비,대구 수성구 들안로 8-5,(지번) 두산동 172-12,35.83067446,128.6173065,두산동,,
아리조나막창,대구 수성구 용학로25길 45,(지번) 두산동 698,35.82574011,128.6247578,두산동,,
녹양구이,대구 수성구 무학로17길 21,(지번) 두산동 174-2,35.83032785,128.6176703,두산동,,
마루막창 수성점,대구 수성구 수성못2길 5,(지번) 두산동 684,35.82559509,128.6223787,두산동,,
양곱화,대구 수성구 들안로 80,(지번) 두산동 35-1,35.8370437,128.6171368,두산동,,
청통한우식육식당 두산점,대구 수성구 무학로21길 56,(지번) 두산동 187,35.83255847,128.6210195,두산동,,
동원연탄석쇠구이 황금본점,대구 수성구 청수로24길 20,(지번) 두산동 19-17,35.83910921,128.6211024,두산동,,
서화순간바지,대구 수성구 청수로 102,(지번) 두산동 12-1,35.83974184,128.6192224,두산동,,
전원숯불,대구 수성구 용학로 129,(지번) 두산동 778,35.82432492,128.6235869,두산동,,
참우양곱창 수성점,대구 수성구 수성못2길 46,(지번) 두산동 681,35.82705363,128.6240433,두산동,,
돈N돈,대구 수성구 무학로23길 47,(지번) 두산동 192-3,35.83230054,128.6216887,두산동,,
바르미명품한우센터,대구 수성구 무학로 78 2층,(지번) 두산동 522-1,35.8291364,128.6174264,두산동,,
수성아일랜드 한우명품관,대구 수성구 지범로 33 2층,(지번) 두산동 721,35.82761394,128.6252982,두산동,,
산아래,대구 수성구 용학로 132,(지번) 두산동 800,35.82392903,128.623328,두산동,,
충무로양곱창,대구 수성구 들안로 92,(지번) 두산동 36-2,35.83802434,128.6173097,두산동,,
의성남선옥식육식당,대구 수성구 들안로 94-1,(지번) 두산동 36-4,35.83826663,128.6172579,두산동,,
우야지막창 황금점,대구 수성구 청수로24길 7,(지번) 두산동 93-1,35.83953642,128.6214646,두산동,,
조선양곱창,대구 수성구 수성못2길 43,(지번) 두산동 670-3,35.8265162,128.6235292,두산동,,
오리학교,대구 수성구 용학로 68,(지번) 두산동 907,35.82599744,128.6171117,두산동,,
와촌식육식당 두산점,대구 수성구 무학로 154,(지번) 두산동 300,35.82992328,128.6253335,두산동,,
무파불,대구 수성구 무학로23길 87,(지번) 두산동 127-16,35.83409228,128.6218289,두산동,,
양반갈비,대구 수성구 무학로 101 1층,(지번) 두산동 177-14,35.83026954,128.6196111,두산동,,
막창도둑,대구 수성구 수성못2길 19 1층,(지번) 두산동 691-2,35.82534291,128.6233359,두산동,,
이경채 자인한우식육식당 대구본점,대구 수성구 들안로 74,(지번) 두산동 69-2,35.83637451,128.6172841,두산동,,
황금생고기,대구 수성구 동대구로 95 108동 1108호,(지번) 두산동 113,35.83791331,128.6226837,두산동,,
적돈 들안길점,대구 수성구 들안로 90-1 1층,(지번) 두산동 36-1,35.83790141,128.6170831,두산동,,
하양농장한우촌,대구 수성구 들안로 88,(지번) 두산동 35-5,35.83760732,128.6173139,두산동,,
황장군 들안길점,대구 수성구 들안로 28,(지번) 두산동 153-12,35.83233197,128.6171907,두산동,,
히로미찌찜닭,대구 수성구 들안로 76-1,(지번) 두산동 68-1,35.83663794,128.6171547,두산동,,
풍기삼계탕,대구 수성구 들안로 58,(지번) 두산동 138-10,35.83492719,128.6171161,두산동,,
몽연,대구 수성구 수성못6길 20-12 1층,(지번) 두산동 710-2,35.8264614,128.6247633,두산동,,
안동뒷고기리저브,대구 수성구 용학로25길 51 1층,(지번) 두산동 700,35.82604649,128.6249318,두산동,,
옛날삼겹살,대구 수성구 청수로24길 17,(지번) 두산동 91-4,35.83898811,128.6217086,두산동,,
황토오리가마구이,대구 수성구 들안로 4,(지번) 두산동 173-2,35.83011153,128.6172857,두산동,,
수원본갈비 강호본가,대구 수성구 용학로 70,(지번) 두산동 908-3,35.8261353,128.6173,두산동,,
형제옛날불고기,대구 수성구 지범로 46,(지번) 두산동 740,35.82623388,128.6257478,두산동,,
부자막창,대구 수성구 무학로21길 47,(지번) 두산동 162-13,35.83217031,128.620521,두산동,,
수성못족발유원지,대구 수성구 수성못2길 37-5,(지번) 두산동 713,35.82598897,128.6234604,두산동,,
창고43 대구수성점,대구 수성구 용학로 92-4 수성스퀘어 2층 201~203호,(지번) 두산동 863-3,35.82524681,128.6201468,두산동,,
꽃핀돈,대구 수성구 상화로 116-1 1층,(지번) 두산동 133-15,35.83506474,128.6199093,두산동,,
테트리스찜닭 본점,대구 수성구 들안로 68 4층,(지번) 두산동 69-5,35.83590132,128.6171901,두산동,,
금관한우,대구 수성구 상화로 100 1층,(지번) 두산동 135-7,35.83495282,128.6179366,두산동,,
육대가,대구 수성구 들안로 70,(지번) 두산동 69-4,35.83611087,128.6171677,두산동,,
미송생고기,대구 수성구 무학로23길 52,(지번) 두산동 194-6,35.83247785,128.6220383,두산동,,
고박사생고기,대구 수성구 들안로16길 21,(지번) 두산동 34-4,35.83720362,128.6175738,두산동,,
고기부심,대구 수성구 동대구로15길 34 1층,(지번) 두산동 88-4,35.83782802,128.6216656,두산동,,
돈테일링,대구 수성구 수성못6길 6,(지번) 두산동 660,35.82699226,128.622716,두산동,,
삼육식당,대구 수성구 무학로23길 17 1층,(지번) 두산동 180-10,35.83097964,128.621649,두산동,,
횡성한우천년우정,대구 수성구 들안로 110,(지번) 두산동 2-1,35.83966767,128.6171553,두산동,,
신안동갈비,대구 수성구 용학로25길 26,(지번) 두산동 744-7,35.82487243,128.624869,두산동,,
두산일번지,대구 수성구 수성못2길 13-1,(지번) 두산동 688,35.82530991,128.6228032,두산동,,
명가장족발보쌈,대구 수성구 무학로21길 32,(지번) 두산동 185-4,35.83156876,128.6207705,두산동,,
삼삼막창1994 대구수성못점,대구 수성구 용학로25길 19 1층,(지번) 두산동 768,35.82484012,128.6242325,두산동,,
이서뒷고기,대구 수성구 청수로 116,(지번) 두산동 15-4,35.83975225,128.620689,두산동,,
초극강뒷고기 두산동직영점,대구 수성구 무학로23길 25,(지번) 두산동 180-5,35.83130695,128.6217078,두산동,,
발빠닭 두산점,대구 수성구 무학로23길 91 1층,(지번) 두산동 127-10,35.83427513,128.6218486,두산동,,
돼지로,대구 수성구 무학로23길 67,(지번) 두산동 190-4,35.83325091,128.6218335,두산동,,
불야시불닭발 본점,대구 수성구 무학로21길 61 1층,(지번) 두산동 146-4,35.83298599,128.6204103,두산동,,
동궁찜닭 두산상동점,대구 수성구 상화로 128 1층,(지번) 두산동 132-3,35.83517488,128.6211036,두산동,,
