식당명,주소1,주소2,위도,경도,행정동
루미너스,대구 수성구 희망로 204,(지번) 황금동 773-2,35.84607141,128.621091,황금2동
더키친노이,대구 수성구 청호로69길 51,(지번) 황금동 130-5,35.84862361,128.6355988,황금1동
르레스토랑,대구 수성구 청호로67길 76-9,(지번) 황금동 131,35.84861523,128.6358503,황금1동
엘리펀트피자 수성점,대구 수성구 청솔로2길 53,(지번) 황금동 691-14,35.8471055,128.6233447,황금2동
쁘띠프랑스,대구 수성구 동대구로 121,(지번) 황금동 846-6,35.84111184,128.6234498,황금2동
파스타입니다 수성점,대구 수성구 들안로46길 8,(지번) 황금동 708,35.85073311,128.6173535,황금2동
청년피자 대구황금점,대구 수성구 동대구로29길 10-13 1층,(지번) 황금동 784-3,35.84471422,128.623585,황금2동
뚜즈,대구 수성구 청수로 133 JM타워 12층 1201호,(지번) 황금동 848-2,35.84036597,128.6229161,황금2동
킴브로스피자앤파스타,대구 수성구 희망로 223 문화베스트하임 1층 103호,(지번) 황금동 687-5,35.84651683,128.6233213,황금2동
파탈리안 황금점,대구 수성구 청솔로 11 1층,(지번) 황금동 744-8,35.84757624,128.6202415,황금2동
러스티코 우드파이어 키친,대구 수성구 청수로 270,(지번) 황금동 204-1,35.84038169,128.6372456,황금1동
디에스다이닝,대구 수성구 희망로 177-3,(지번) 황금동 758-9,35.84712784,128.6180613,황금2동
봉수아피자 황금점,대구 수성구 청솔로 23-4,(지번) 황금동 725-7,35.84872093,128.6198835,황금2동
피자까펠로 황금점,대구 수성구 청수로 213,(지번) 황금동 365,35.84029338,128.6301483,황금1동
플렉스,대구 수성구 동대구로29길 22,(지번) 황금동 837-3,35.84389648,128.6231216,황금2동
사워도우,대구 수성구 청솔로2길 63-9 1동 1층,(지번) 황금동 691-7,35.84729265,128.6228859,황금2동
MIM,대구 수성구 희망로 165,(지번) 황금동 756-3,35.84695741,128.6170391,황금2동
브로피자 수성구점,대구 수성구 청솔로8길 23 1층,(지번) 황금동 706-23,35.84990498,128.6218574,황금2동
콜라보,대구 수성구 들안로32길 97,(지번) 황금동 796-13,35.84424014,128.6222437,황금2동
쿠스커피,대구 수성구 청수로 235,(지번) 황금동 366,35.84144818,128.6334266,황금1동
파파존스 대구시지점,대구 수성구 달구벌대로 3148 1층,(지번) 노변동 8-4,35.84144559,128.7011573,고산2동
뜨삽 수성점,대구 수성구 용학로 106-7,(지번) 두산동 888-2,35.82409684,128.6184092,두산동
1997빠리바닷가재,대구 수성구 용학로 84,(지번) 두산동 898-5,35.82584789,128.618862,두산동
꽃피는화덕피자D485 대구수성못점,대구 수성구 용학로 111 2층,(지번) 두산동 837-1,35.8252817,128.6219428,두산동
뉴욕바닷가재 대구본점,대구 수성구 용학로 106-7 2동 3층,(지번) 두산동 888-2,35.82409684,128.6184092,두산동
앙뜨레누보,대구 수성구 수성못6길 20,(지번) 두산동 680,35.82727131,128.6241398,두산동
스펠바운드레스토랑,대구 수성구 용학로 106-5 2층,(지번) 두산동 853-1,35.82476221,128.6207989,두산동
라살루드,대구 수성구 무학로 87,(지번) 두산동 175-4,35.83017411,128.6181395,두산동
센도리,대구 수성구 들안로 38,(지번) 두산동 152-8,35.83312781,128.6172478,두산동
아티코,대구 수성구 지범로 43-12,(지번) 두산동 729-12,35.82704771,128.6268595,두산동
호반,대구 수성구 용학로 45,(지번) 두산동 926-3,35.82633478,128.6146959,두산동
세컨델리,대구 수성구 들안로 66,(지번) 두산동 69-6,35.83578569,128.6172649,두산동
서가앤쿡 수성못점,대구 수성구 용학로 62 3층,(지번) 두산동 909-5,35.82611713,128.6166146,두산동
미즈컨테이너 수성못점,대구 수성구 수성못6길 10,(지번) 두산동 669-1,35.82708759,128.6230643,두산동
스페인클럽 대구 수성못점,대구 수성구 용학로 92-4 수성스퀘어 1층,(지번) 두산동 863-2,35.82524681,128.6201468,두산동
잭슨피자 수성못점,대구 수성구 수성못6길 18 101호,(지번) 두산동 670,35.8270845,128.6235599,두산동
