식당명,주소1,주소2,위도,경도,행정동
금강회초밥,대구 수성구 청수로 115,(지번) 황금동 891-9,35.84053514,128.6208376,황금2동
미락회초밥,대구 수성구 희망로 199,(지번) 황금동 764-3,35.84669574,128.6206625,황금2동
유메,대구 수성구 들안로 174-1,(지번) 황금동 813-2,35.84552032,128.6170286,황금2동
고래와참치,대구 수성구 범어천로 17,(지번) 황금동 699-12,35.84853106,128.6232016,황금2동
허수사참치,대구 수성구 희망로 192,(지번) 황금동 769-2,35.84636028,128.6197509,황금2동
도도카츠,대구 수성구 청수로45길 151-11,(지번) 황금동 967-1,35.84250568,128.6318542,황금1동
어장관리,대구 수성구 동대구로29길 54,(지번) 황금동 838-9,35.84242277,128.6230266,황금2동
타코이자까야,대구 수성구 범어천로 28,(지번) 황금동 680-1,35.84934756,128.6234297,황금2동
정해원참치연어,대구 수성구 희망로 203 1층,(지번) 황금동 764-10,35.84659865,128.6210788,황금2동
혼또참치,대구 수성구 청수로 133 2층 203호,(지번) 황금동 848-2,35.84036597,128.6229161,황금2동
바다마을,대구 수성구 동대구로25길 33 1층,(지번) 황금동 850-2,35.84108004,128.6232222,황금2동
와사비,대구 수성구 희망로 203 1층,(지번) 황금동 764-10,35.84659865,128.6210788,황금2동
노미마스,대구 수성구 동대구로29길 41 1층,(지번) 황금동 841-6,35.84291895,128.6232728,황금2동
참치회담,대구 수성구 들안로 226 1층,(지번) 황금동 709-2,35.85017042,128.6170607,황금2동
대한초밥,대구 수성구 희망로36길 122 1층,(지번) 황금동 794-9,35.84474636,128.6232142,황금2동
한마음회초밥,대구 수성구 들안로32길 111 1층,(지번) 황금동 796-9,35.84418857,128.6231464,황금2동
코이까츠,대구 수성구 청솔로 11 1층,(지번) 황금동 744-8,35.84757624,128.6202415,황금2동
스시990 황금점,대구 수성구 청호로46길 11,(지번) 황금동 264,35.83855422,128.6411458,황금1동
리얼수제등심돈까스,대구 수성구 희망로36길 52,(지번) 황금동 799-23,35.84571786,128.6204986,황금2동
정진참치,대구 수성구 희망로 203,(지번) 황금동 764-10,35.84659865,128.6210788,황금2동
새벽회 대구황금점,대구 수성구 청솔로12길 6,(지번) 황금동 707-17,35.85054296,128.6208915,황금2동
강서돈가스,대구 수성구 청솔로 35,(지번) 황금동 728-4,35.84966787,128.6203827,황금2동
안,대구 수성구 청수로 101,(지번) 황금동 889-14,35.84048454,128.6192242,황금2동
태주,대구 수성구 희망로36길 125,(지번) 황금동 784-1,35.84461565,128.6234439,황금2동
돌고래일식,대구 수성구 희망로 228 1층,(지번) 황금동 775-4,35.84604751,128.6236613,황금2동
바르미스시뷔페 두산점,대구 수성구 무학로 78 1층,(지번) 두산동 523-1,35.8291364,128.6174264,두산동
내안에,대구 수성구 무학로 85,(지번) 두산동 175-3,35.83016067,128.6179191,두산동
온기정,대구 수성구 수성못6길 9,(지번) 두산동 623,35.82761415,128.6232891,두산동
삿뽀로 대구점,대구 수성구 용학로 134,(지번) 두산동 793,35.82346702,128.6233275,두산동
종로참치&스시,대구 수성구 들안로 18,(지번) 두산동 172-1,35.83130925,128.6171441,두산동
비단옥,대구 수성구 수성못2길 9,(지번) 두산동 687,35.82534776,128.6224561,두산동
둥우리,대구 수성구 수성못2길 55-1 4층,(지번) 두산동 661,35.8263987,128.6224005,두산동
싱싱참치,대구 수성구 동대구로7길 24,(지번) 두산동 129-2,35.83376299,128.6218438,두산동
진참치 수성점,대구 수성구 무학로 150,(지번) 두산동 304-2,35.82981436,128.6248911,두산동
경양카츠 수성못점,대구 수성구 용학로25길 32,(지번) 두산동 744-5,35.82505704,128.6249578,두산동
가츠라 들안길점,대구 수성구 용학로 138 1층,(지번) 두산동 746,35.82359293,128.6241461,두산동
캇포킨,대구 수성구 들안로14길 70,(지번) 두산동 77-16,35.83602148,128.6208653,두산동
백식당 대구점,대구 수성구 들안로 52,(지번) 두산동 138-7,35.83437599,128.6171405,두산동
아사라식당 수성점,대구 수성구 동대구로 95 SK리더스뷰 1층 상가,(지번) 두산동 113,35.83791331,128.6226837,두산동
하루가초밥,대구 수성구 무학로23길 112 1층,(지번) 두산동 124-6,35.83512963,128.6222531,두산동
스시타다시,대구 수성구 지범로 33 3층,(지번) 두산동 721,35.82761394,128.6252982,두산동
연어로만 대구두산점,대구 수성구 동대구로 95 수성SK리더스뷰아파트 상가 108동 902호,(지번) 두산동 113,35.83791331,128.6226837,두산동
고엔참치,대구 수성구 용학로25길 36,(지번) 두산동 744-2,35.82527871,128.625065,두산동
인어공주,대구 수성구 무학로17길 6,(지번) 두산동 177-1,35.83022179,128.6185867,두산동
스시201,대구 수성구 무학로21안길 30,(지번) 두산동 164,35.83130433,128.6199046,두산동
대마참치,대구 수성구 용학로 106-7,(지번) 두산동 888-2,35.82409684,128.6184092,두산동
신기소 두산점,대구 수성구 동대구로 59 대우트럼프월드상가 C동 2호,(지번) 두산동 105,35.83584738,128.6225479,두산동
오마카세텐,대구 수성구 동대구로 31 1동 9층,(지번) 두산동 198,35.83313554,128.6228833,두산동
황금참치,대구 수성구 동대구로 55,(지번) 두산동 119-1,35.83525267,128.6230779,두산동
