식당명,주소1,주소2,위도,경도,행정동
홍구원 수성점,대구 수성구 동대구로 167,(지번) 황금동 778-1,35.84535621,128.6238373,황금2동
완뽕 황금점,대구 수성구 희망로 199,(지번) 황금동 764-3,35.84669574,128.6206625,황금2동
중국가,대구 수성구 동대구로29길 54-6,(지번) 황금동 838-11,35.84243224,128.6226592,황금2동
대공원반점,대구 수성구 청솔로 25,(지번) 황금동 729-9,35.84884008,128.6203432,황금2동
짬뽕시대,대구 수성구 청수로35길 83-8,(지번) 황금동 968-6,35.84215171,128.6316419,황금1동
향원반점,대구 수성구 희망로36길 122-3 1층,(지번) 황금동 794-16,35.84476741,128.6229302,황금2동
왕서방반점,대구 수성구 청호로 330,(지번) 황금동 60,35.84553864,128.6401536,황금1동
우방반점,대구 수성구 청수로35길 83-11,(지번) 황금동 969-3,35.84244201,128.6314333,황금1동
깐풍기와탕수육 황금점,대구 수성구 청솔로 3 1층,(지번) 황금동 760-1,35.84687052,128.6200971,황금2동
중국집&딸바보짜글이,대구 수성구 들안로32길 94,(지번) 황금동 833-17,35.84405846,128.6219771,황금2동
영화반점,대구 수성구 들안로28길 8,(지번) 황금동 884-19,35.84231556,128.6173317,황금2동
짬뽕지존 대구수성점,대구 수성구 무학로 99,(지번) 두산동 177-6,35.83017615,128.6193858,두산동
신신반점 수성점,대구 수성구 무학로 111 1층,(지번) 두산동 178-15,35.83025333,128.6206527,두산동
장군양꼬치,대구 수성구 동대구로3길 14 1층,(지번) 두산동 193-1,35.83203281,128.6222226,두산동
서태후,대구 수성구 용학로25길 46,(지번) 두산동 740-5,35.82560918,128.62535,두산동
칭밍,대구 수성구 용학로 106-7,(지번) 두산동 888-2,35.82409684,128.6184092,두산동
사천노마훠궈 수성못가족점,대구 수성구 수성못2길 13 2층,(지번) 두산동 686,35.82546651,128.6227114,두산동
뭐양 수성못점,대구 수성구 수성못2길 13,(지번) 두산동 686,35.82546651,128.6227114,두산동
용루,대구 수성구 무학로 127,(지번) 두산동 206-1,35.83040334,128.622518,두산동
라쿵푸마라탕 수성못점,대구 수성구 무학로23길 28,(지번) 두산동 202-8,35.83145431,128.6219729,두산동
마차이짬뽕 황금점,대구 수성구 청수로 118,(지번) 두산동 16,35.83974618,128.620919,두산동
신천운양꼬치구이 들안길점,대구 수성구 들안로8길 11,(지번) 두산동 137-23,35.83354131,128.6175116,두산동
짬뽕루 두산점,대구 수성구 동대구로 59 대우트럼프월드 F동 7호,(지번) 두산동 105,35.83584738,128.6225479,두산동
태화루반점,대구 수성구 들안로2길 9,(지번) 두산동 154-28,35.8315625,128.6175036,두산동
옌타이,대구 수성구 무학로21길 98,(지번) 두산동 131-6,35.8344325,128.6209849,두산동
홍춘별관 두산점,대구 수성구 무학로23길 82 1층,(지번) 두산동 123-9,35.8338511,128.6221652,두산동
미미짬뽕,대구 수성구 무학로23길 56 102호,(지번) 두산동 194-5,35.83260214,128.6220635,두산동
홍화루,대구 수성구 들안로14길 70,(지번) 두산동 77-16,35.83602148,128.6208653,두산동
더윅하우스,대구 수성구 무학로21길 78,(지번) 두산동 188-5,35.83351401,128.6209345,두산동
두산각,대구 수성구 상화로 113,(지번) 두산동 79-13,35.83535038,128.6195433,두산동
더웍하우스,대구 수성구 무학로21길 78,(지번) 두산동 188,35.83351401,128.6209345,두산동
청명,대구 수성구 용학로 106-7,(지번) 두산동 888,35.82409684,128.6184092,두산동
품안에바다 본점,대구 수성구 들안로20길 27,(지번) 두산동 27,35.8381722,128.6192981,두산동
이가짬뽕전문점,대구 수성구 동대구로15길 34,(지번) 두산동 88-4,35.83782802,128.6216656,두산동
상해 짬뽕전문점,대구 수성구 청수로24길 23,(지번) 두산동 91-12,35.83877269,128.621372,두산동
구들마라탕,대구 수성구 무학로23길 45 1층,(지번) 두산동 192-9,35.83214932,128.6217159,두산동
태화반점,대구 수성구 들안로2길 9,(지번) 두산동 154-28,35.8315625,128.6175036,두산동
리안,대구 수성구 교학로4길 48,(지번) 만촌동 855-18,35.85534494,128.6503764,만촌3동
대가야성,대구 수성구 달구벌대로525길 4,(지번) 만촌동 738-1,35.85725441,128.6502683,만촌2동
라원신짬뽕 본점,대구 수성구 달구벌대로 2648,(지번) 만촌동 854-3,35.85585541,128.6512044,만촌3동
이비가짬뽕 대구범어점,대구 수성구 국채보상로 947,(지번) 만촌동 421-15,35.86771288,128.6341562,만촌1동
도화원,대구 수성구 화랑로 46,(지번) 만촌동 1356-22,35.86992394,128.6332065,만촌1동
미미관마라탕 만촌점,대구 수성구 동원로 135 메트로팔레스1단지아파트 122동 1층 106호,(지번) 만촌동 1356-3,35.8691799,128.633469,만촌1동
열라신짬봉,대구 수성구 달구벌대로 2602,(지번) 만촌동 1040-40,35.85820884,128.6470155,만촌3동
신마라대장 만촌점,대구 수성구 동원로28길 27,(지번) 만촌동 1327-4,35.8721701,128.6371851,만촌1동
만만춘짬뽕중화요리,대구 수성구 청호로 489,(지번) 만촌동 1039-19,35.85850403,128.6453137,만촌3동
왕서방,대구 수성구 동원로28길 21,(지번) 만촌동 1327-1,35.87199359,128.6369588,만촌1동
려황 만촌본점,대구 수성구 국채보상로 1069,(지번) 만촌동 685-42,35.86847738,128.6462133,만촌1동
화진각반점,대구 수성구 국채보상로 945,(지번) 만촌동 420-11,35.86753136,128.6338932,만촌1동
신강풍요리의집,대구 수성구 만촌로 17-1,(지번) 만촌동 1029-8,35.86060862,128.6446902,만촌2동
요리성,대구 수성구 국채보상로 1006,(지번) 만촌동 950-1,35.86565502,128.640352,만촌2동
상해대반점,대구 수성구 국채보상로 1078,(지번) 만촌동 974-6,35.86869891,128.6472696,만촌2동
후니짬뽕,대구 수성구 화랑로12길 8 메트로월드 105호,(지번) 만촌동 1356-44,35.87097718,128.6342803,만촌1동
아리산반점,대구 수성구 동원로 52,(지번) 만촌동 959-8,35.8635678,128.6396464,만촌2동
중화가정,대구 수성구 동원로 136 이마트 만촌점 1층 푸드코트 내,(지번) 만촌동 1356-5,35.87120649,128.6371473,만촌1동
홍리면관,대구 수성구 달구벌대로637길 16,(지번) 매호동 1091,35.84200349,128.7069889,고산3동
신열열짬뽕,대구 수성구 달구벌대로627길 6-23,(지번) 매호동 1343-11,35.84197235,128.7026424,고산3동
아미성,대구 수성구 천을로 149 1층,(지번) 매호동 1328-18,35.84375234,128.7069366,고산3동
의리짬뽕 시지점,대구 수성구 달구벌대로641길 20,(지번) 매호동 1079-2,35.84185353,128.7083529,고산3동
독일미양꼬치 시지3호점,대구 수성구 달구벌대로637길 22-1,(지번) 매호동 1088-4,35.84236048,128.707524,고산3동
미성각,대구 수성구 달구벌대로627길 14-25 1층,(지번) 매호동 1337-10,35.84231733,128.7028759,고산3동
국민반점,대구 수성구 천을로 119,(지번) 매호동 1323-8,35.84426984,128.7036363,고산3동
신마라탕,대구 수성구 달구벌대로641길 27 다동 101호,(지번) 매호동 1082-1,35.84263672,128.7081298,고산3동
천리향반점,대구 수성구 고산로 123,(지번) 매호동 1331,35.84353925,128.705253,고산3동
천리향,대구 수성구 천을로 180,(지번) 매호동 1040,35.8417803,128.7102443,고산3동
상하이,대구 수성구 달구벌대로627길 22-22,(지번) 매호동 1337-3,35.84251759,128.702677,고산3동
팔선생,대구 수성구 범어천로 170-1,(지번) 범어동 2201,35.86202068,128.622755,범어3동
만솥,대구 수성구 동대구로 237,(지번) 범어동 736,35.85157283,128.6244102,범어1동
마라신 범어본점,대구 수성구 동대구로59길 12 1층,(지번) 범어동 790-3,35.85732576,128.6243469,범어1동
라쿵푸마라탕 범어점,대구 수성구 달구벌대로492길 42,(지번) 범어동 255-10,35.8569912,128.6346741,범어4동
짬뽕지존,대구 수성구 상록로 5,(지번) 범어동 557,35.85997005,128.6237285,범어3동
신천시장 깐탕,대구 수성구 들안로78길 14,(지번) 범어동 1003-37,35.86486297,128.6189422,범어3동
미미짬뽕 수성점,대구 수성구 범어천로 54,(지번) 범어동 730-1,35.851652,128.6239467,범어1동
깐탕,대구 수성구 범어로19길 2,(지번) 범어동 199-19,35.85798983,128.6355886,범어4동
미미관마라탕 범어점,대구 수성구 달구벌대로504길 7,(지번) 범어동 211,35.85801112,128.6383509,범어4동
상해관,대구 수성구 상록로 24,(지번) 범어동 27-13,35.86153924,128.6241792,범어3동
손이가수타손짜장,대구 수성구 상록로 62,(지번) 범어동 7-19,35.86502654,128.6242677,범어3동
장안성,대구 수성구 범어로20길 38,(지번) 범어동 210-15,35.85783341,128.637843,범어4동
소림마라 대구수성점,대구 수성구 명덕로 472,(지번) 범어동 806-1,35.85377227,128.6216072,범어1동
링링양꼬치,대구 수성구 상록로 46-1,(지번) 범어동 26-7,35.86352356,128.6242914,범어3동
중화가정 신천시장점,대구 수성구 들안로78길 21 1층,(지번) 범어동 1440,35.86523551,128.6191487,범어3동
웃어라짬뽕,대구 수성구 세진로 3,(지번) 범어동 393-3,35.8622362,128.6360967,범어2동
호호짬뽕,대구 수성구 범어로 87,(지번) 범어동 204-8,35.85723406,128.6356602,범어4동
빨간짬뽕,대구 수성구 범어로19길 59,(지번) 범어동 201-3,35.85777656,128.6324131,범어4동
우당탕반점,대구 수성구 범어로19길 25,(지번) 범어동 203-4,35.857791,128.6343141,범어4동
귀래원,대구 수성구 동대구로 359-8 1층,(지번) 범어동 32-2,35.86259157,128.626099,범어3동
대구짬뽕 0304 범어점,대구 수성구 달구벌대로 2435 두산위브더제니스 301동 지하1층 B103-9호,(지번) 범어동 179,35.86098925,128.628268,범어2동
