식당명,주소1,주소2,위도,경도,행정동,
오리진커피,대구 수성구 범어천로 8,(지번) 황금동 683-4,35.84790177,128.6241898,황금2동,
스타벅스 국립대구박물관DT점,대구 수성구 청호로 318,(지번) 황금동 69-3,35.84565173,128.6391299,황금1동,
커피는책이랑,대구 수성구 들안로46길 6 1층,(지번) 황금동 708-2,35.85074604,128.6172434,황금2동,
투썸플레이스 대구황금점,대구 수성구 청수로 107 1층,(지번) 황금동 889-1,35.84055476,128.6200644,황금2동,
에스페소,대구 수성구 동대구로 159 1층,(지번) 황금동 780,35.84475276,128.6239805,황금2동,
플리트비체,대구 수성구 동대구로 209 3층,(지번) 황금동 676-2,35.84914513,128.6243589,황금2동,
핸즈커피 황금점,대구 수성구 동대구로 120,(지번) 황금동 543-7,35.84097105,128.6250188,황금2동,
갓샐러드 황금점,대구 수성구 청수로25길 50,(지번) 황금동 864-2,35.84106935,128.6206098,황금2동,
온니두 박물관점,대구 수성구 청호로57길 18-6,(지번) 황금동 93-1,35.84408028,128.6382412,황금1동,
더미소짓다,대구 수성구 청수로25길 48-11,(지번) 황금동 867-3,35.84174681,128.6206043,황금2동,
커피사주는남자,대구 수성구 청호로 235-14 3층,(지번) 황금동 349-1,35.8380251,128.6392035,황금1동,
이디야커피 대구황금롯데캐슬점,대구 수성구 청수로45길 37,(지번) 황금동 428-17,35.84220995,128.6324361,황금1동,
매스커피 황금점,대구 수성구 들안로32길 13 1층,(지번) 황금동 810-6,35.84455669,128.6176473,황금2동,
몬스터커피 황금점,대구 수성구 청솔로12길 40,(지번) 황금동 705-1,35.85004451,128.6229223,황금2동,
블루밍커피,대구 수성구 청호로67길 78 1층,(지번) 황금동 130-8,35.84802059,128.6356834,황금1동,
요거트월드 대구수성점,대구 수성구 희망로36길 12,(지번) 황금동 767-7,35.84600685,128.6181927,황금2동,
카페봄봄 황금캐슬점,대구 수성구 청수로45길 32,(지번) 황금동 366-1,35.84201645,128.632995,황금1동,
카파비바,대구 수성구 청솔로2길 52 102호,(지번) 황금동 688-1,35.84692115,128.6230829,황금2동,
로스팅스튜디오799,대구 수성구 들안로32길 63,(지번) 황금동 799-9,35.8443497,128.6204085,황금2동,
팔공티 대구황금점,대구 수성구 동대구로 115 황금비즈니스센타 1층,(지번) 황금동 847-1,35.84061102,128.6235269,황금2동,
사피디뜨,대구 수성구 청호로 301,(지번) 황금동 75,35.84434246,128.6386088,황금1동,
시베리안빙수킹&카페 황금점,대구 수성구 희망로36길 113 1층,(지번) 황금동 785-4,35.84520856,128.6234805,황금2동,
꽃차랑,대구 수성구 청호로46길 17 우방신천지타운상가,(지번) 황금동 272,35.83897539,128.6413922,황금1동,
