식당명,주소1,주소2,위도,경도,행정동
제일숯불막창 본점,대구 수성구 동대구로29길 31,(지번) 황금동 841-2,35.8433075,128.6234081,황금2동
본가안동국시 본점,대구 수성구 희망로 216,(지번) 황금동 773-10,35.84603467,128.6223373,황금2동
오가네생선구이,대구 수성구 범어천로 11,(지번) 황금동 694-7,35.84800134,128.6235037,황금2동
홍이네대왕조개전골 수성점,대구 수성구 들안로 208 1층,(지번) 황금동 753-5,35.84859572,128.6171106,황금2동
오리의하루,대구 수성구 청호로 235-14 1층,(지번) 황금동 349-1,35.8380251,128.6392035,황금1동
울진수산,대구 수성구 범어천로 10,(지번) 황금동 683-6,35.84805464,128.6240539,황금2동
하늘타리 황금점,대구 수성구 동대구로 120,(지번) 황금동 543-7,35.84097105,128.6250188,황금2동
밤새우는닭 범어직영점,대구 수성구 범어천로 32,(지번) 황금동 675-1,35.84969155,128.6235414,황금2동
장원부대찌개철판구이,대구 수성구 청수로 99,(지번) 황금동 889-7,35.84067983,128.619029,황금2동
삼합일,대구 수성구 범어천로 10,(지번) 황금동 683-6,35.84805464,128.6240539,황금2동
전주식콩나물해장국,대구 수성구 들안로 168,(지번) 황금동 814-1,35.8449962,128.6172443,황금2동
우연1972,대구 수성구 동대구로38길 33,(지번) 황금동 651,35.84759944,128.6265608,황금2동
대구뭉티기,대구 수성구 희망로36길 130-11,(지번) 황금동 796-5,35.84445326,128.6225041,황금2동
브라더막창,대구 수성구 동대구로29길 40,(지번) 황금동 838-1,35.84297939,128.622701,황금2동
옹기해물수제비칼국수,대구 수성구 범어천로 34-1,(지번) 황금동 675-6,35.85002635,128.6236065,황금2동
우리소가든,대구 수성구 청수로 91-6,(지번) 황금동 889-11,35.8407558,128.6183936,황금2동
신신,대구 수성구 희망로 195 1층,(지번) 황금동 760-18,35.84667766,128.6201656,황금2동
기센장어 황금동본점,대구 수성구 희망로 222,(지번) 황금동 775-1,35.84614183,128.6231506,황금2동
화전 수성점,대구 수성구 범어천로 30,(지번) 황금동 675-10,35.84948649,128.6234654,황금2동
돌고래일식,대구 수성구 희망로 228 1층,(지번) 황금동 775-4,35.84604751,128.6236613,황금2동
2호집돼지국밥,대구 수성구 청솔로12길 40,(지번) 황금동 705-1,35.85004451,128.6229223,황금2동
산갈래닭갈비 황금점,대구 수성구 범어천로 32-1,(지번) 황금동 675-4,35.84981853,128.623574,황금2동
램스,대구 수성구 범어천로 18,(지번) 황금동 681-3,35.84862462,128.6237398,황금2동
명동식육식당,대구 수성구 희망로 218-1,(지번) 황금동 773-12,35.84617494,128.6227137,황금2동
정코다리 황금점,대구 수성구 희망로36길 131,(지번) 황금동 783,35.84446337,128.6234831,황금2동
어성촌,대구 수성구 동대구로 199,(지번) 황금동 682-8,35.84820292,128.6243702,황금2동
황금한우숯불갈비살,대구 수성구 범어천로 25-1,(지번) 황금동 703-11,35.8493352,128.6229311,황금2동
땡구식당,대구 수성구 청수로35길 83,(지번) 황금동 973-7,35.84186886,128.6317268,황금1동
제주명성돈,대구 수성구 범어천로 22,(지번) 황금동 680-12,35.84901842,128.6235064,황금2동
한올면옥 황금점,대구 수성구 청수로 109,(지번) 황금동 891-12,35.84060293,128.6203883,황금2동
봉란옥,대구 수성구 청호로69길 51,(지번) 황금동 130-5,35.84862361,128.6355988,황금1동
대빵대구대가리 황금점,대구 수성구 범어천로 34,(지번) 황금동 675-5,35.84992125,128.6235814,황금2동
명가대호돼지국밥,대구 수성구 희망로 169,(지번) 황금동 756-7,35.84693966,128.6173539,황금2동
기장 산곰장어바다장어 본점,대구 수성구 범어천로 25,(지번) 황금동 703-12,35.84917441,128.622919,황금2동
바베큐하우스오크,대구 수성구 청호로 242-1,(지번) 황금동 249-2,35.83909809,128.6401936,황금1동
원조선산대한곱창 수성점,대구 수성구 범어천로 23-3,(지번) 황금동 702-1,35.8489714,128.6228648,황금2동
후포회수산,대구 수성구 들안로 172,(지번) 황금동 813-5,35.84525536,128.6173052,황금2동
동해대게,대구 수성구 들안로32길 107,(지번) 황금동 796-19,35.84424283,128.6228588,황금2동
구오돼지,대구 수성구 들안로32길 109 상가1층,(지번) 황금동 796-8,35.84423388,128.6230071,황금2동
코끼리식육식당 황금점,대구 수성구 청수로 107 2층,(지번) 황금동 889-1,35.84055476,128.6200644,황금2동
일등양 황금점,대구 수성구 희망로 228 1층,(지번) 황금동 775-4,35.84604751,128.6236613,황금2동
메밀골동해막국수,대구 수성구 범어천로 38,(지번) 황금동 675-8,35.85022381,128.6236317,황금2동
수성족발 본점,대구 수성구 범어천로 23,(지번) 황금동 702-14,35.84895108,128.6229881,황금2동
마산해물아구찜,대구 수성구 청수로 91-33,(지번) 황금동 888-7,35.84089918,128.619737,황금2동
봉이돌양곱창,대구 수성구 희망로 214 1층,(지번) 황금동 773-21,35.84618278,128.6220933,황금2동
숯댕이 숯불닭구이,대구 수성구 들안로 172 1층,(지번) 황금동 813-5,35.84525536,128.6173052,황금2동
수성관뭉티기,대구 수성구 희망로 169,(지번) 황금동 756,35.84693966,128.6173539,황금2동
연하,대구 수성구 청솔로6길 47,(지번) 황금동 699-16,35.84854869,128.623077,황금2동
부창횟집,대구 수성구 들안로 166-1,(지번) 황금동 814-5,35.84485322,128.6170477,황금2동
대복한우리식육식당,대구 수성구 청솔로4길 60,(지번) 황금동 690-15,35.84758611,128.6236887,황금2동
봉숙이네,대구 수성구 청수로25길 34,(지번) 황금동 863-15,35.8410051,128.6212378,황금2동
고기만세,대구 수성구 청수로45길 48-9,(지번) 황금동 416-1,35.84252434,128.6334118,황금1동
김경래함흥면옥,대구 수성구 희망로 170,(지번) 황금동 765,35.84645971,128.6173471,황금2동
현수산회도매,대구 수성구 희망로 167,(지번) 황금동 756-6,35.84693366,128.6171966,황금2동
오늘도찜닭 대구수성본점,대구 수성구 청솔로 36 1층,(지번) 황금동 731-27,35.84967714,128.6206578,황금2동
수내닭꼬치 대구황금점,대구 수성구 동대구로29길 56,(지번) 황금동 851-13,35.84225345,128.6229398,황금2동
광어공방 황금점,대구 수성구 청수로35길 79 삼영빌딩 1층,(지번) 황금동 972-5,35.84173877,128.6314123,황금1동
박재현한우,대구 수성구 청솔로 46,(지번) 황금동 707,35.85054979,128.6207459,황금2동
이순선함흥면옥,대구 수성구 청수로 99,(지번) 황금동 889-7,35.84067983,128.619029,황금2동
대구상회,대구 수성구 청수로45길 48-9 1층,(지번) 황금동 418,35.84252434,128.6334118,황금1동
봉구스밥버거 황금캐슬점,대구 수성구 청수로 235 캐슬골드파크 2단지 종합상가 1층,(지번) 황금동 366,35.84144818,128.6334266,황금1동
황금동삼겹살,대구 수성구 청솔로6길 15-10 1층,(지번) 황금동 702-10,35.84905919,128.6214682,황금2동
감성족발 대구황금점,대구 수성구 희망로36길 122 1층,(지번) 황금동 794-9,35.84474636,128.6232142,황금2동
파도,대구 수성구 들안로 136,(지번) 황금동 884-3,35.84205743,128.6170801,황금2동
부창회세꼬시,대구 수성구 들안로 166-1,(지번) 황금동 814-5,35.84485322,128.6170477,황금2동
달인의찜닭두산점,대구 수성구 들안로 128,(지번) 황금동 884-9,35.84132561,128.6170004,황금2동
지산88생고기,대구 수성구 청수로40길 29,(지번) 황금동 505,35.83778648,128.6308597,황금1동
윤가네해물찜,대구 수성구 청솔로2길 68,(지번) 황금동 690-16,35.84744814,128.6236761,황금2동
두찜 대구두산황금점,대구 수성구 청솔로 23-4 1층,(지번) 황금동 725-7,35.84872093,128.6198835,황금2동
온달포장,대구 수성구 범어천로 19,(지번) 황금동 700-1,35.84869795,128.6230543,황금2동
참바다회,대구 수성구 청수로35길 83-9 1층,(지번) 황금동 969-4,35.84230227,128.6314046,황금1동
낙곱새녀석들 황금점,대구 수성구 들안로32길 56-23 1층,(지번) 황금동 829-2,35.84286878,128.6200067,황금2동
담은정칼국수,대구 수성구 청수로35길 135-1,(지번) 황금동 401,35.84253695,128.6345586,황금1동
박가뒷고기,대구 수성구 희망로 196,(지번) 황금동 770-3,35.84633514,128.6200918,황금2동
미소,대구 수성구 청수로45길 163-5,(지번) 황금동 973,35.84197526,128.6316755,황금1동
남강회크랩마켓,대구 수성구 들안로 198,(지번) 황금동 754-4,35.84761425,128.617086,황금2동
신산호아나고,대구 수성구 범어천로 38,(지번) 황금동 675-8,35.85022381,128.6236317,황금2동
돼지수산 본점,대구 수성구 청수로 101-1,(지번) 황금동 889-5,35.84053542,128.6193871,황금2동
원아구찜 수성점,대구 수성구 들안로40길 64,(지번) 황금동 725-1,35.8487746,128.619705,황금2동
아귀는대구에서내렸고,대구 수성구 들안로44길 23,(지번) 황금동 708-10,35.85050975,128.6181678,황금2동
초원한우,대구 수성구 청수로 91-6,(지번) 황금동 889-11,35.8407558,128.6183936,황금2동
귀신닭발 본점,대구 수성구 들안로32길 103,(지번) 황금동 796-18,35.8442174,128.6227129,황금2동
이봉화 추어탕,대구 수성구 들안로42길 5,(지번) 황금동 709-9,35.84950163,128.6171846,황금2동
고래불 해물찜 대구찜닭,대구 수성구 들안로46길 8,(지번) 황금동 708-15,35.85073311,128.6173535,황금2동
참소 한우국밥,대구 수성구 들안로 166-1,(지번) 황금동 814-5,35.84485322,128.6170477,황금2동
청춘족발 수성점,대구 수성구 들안로32길 97,(지번) 황금동 796-13,35.84424014,128.6222437,황금2동
무너섬대구수성점,대구 수성구 동대구로25길 36,(지번) 황금동 862-8,35.84091657,128.622882,황금2동
하루키친,대구 수성구 들안로42안길 56,(지번) 황금동 728-1,35.84981154,128.620207,황금2동
이왕이면빈대떡 본점,대구 수성구 범어천로 26,(지번) 황금동 680-6,35.84923654,128.6234363,황금2동
술맛나는집,대구 수성구 청수로35길 83-7 1층,(지번) 황금동 970-2,35.84216003,128.6313615,황금1동
티케이피정코다리황금점,대구 수성구 희망로36길 135-2,(지번) 황금동 906,35.84415948,128.6233181,황금2동
황금횟집,대구 수성구 청수로45길 38,(지번) 황금동 428-16,35.84229744,128.6327822,황금1동
전서방닭갈비,대구 수성구 청솔로 26,(지번) 황금동 731-1,35.84879766,128.6205816,황금2동
복만세,대구 수성구 범어천로 7,(지번) 황금동 693-6,35.84774979,128.6236596,황금2동
족발팩토리,대구 수성구 동대구로 201-8,(지번) 황금동 681-1,35.84846993,128.6239506,황금2동
다미수제돈가스냉면,대구 수성구 청솔로 35,(지번) 황금동 728-4,35.84966787,128.6203827,황금2동
맛자랑,대구 수성구 희망로 227,(지번) 황금동 689-10,35.84642587,128.6237439,황금2동
전주소반,대구 수성구 들안로32길 47,(지번) 황금동 809-26,35.8444237,128.6194588,황금2동
고등어연탄석쇠구이,대구 수성구 희망로 223,(지번) 황금동 687-5,35.84651683,128.6233213,황금2동
란꾸이식당 대구점,대구 수성구 범어천로 34,(지번) 황금동 675-5,35.84992125,128.6235814,황금2동
진생삼겹살,대구 수성구 청솔로 23-2 1층,(지번) 황금동 729-10,35.8487064,128.6201256,황금2동
끝돈왕,대구 수성구 들안로46길 36,(지번) 황금동 714-12,35.85066437,128.6189785,황금2동
기막힌조개탕,대구 수성구 범어천로 34,(지번) 황금동 675-5,35.84992125,128.6235814,황금2동
짱숯불아나고,대구 수성구 범어천로 23-7,(지번) 황금동 702-3,35.8489685,128.6225922,황금2동
참좋은한우식육식당,대구 수성구 청솔로 26 1층,(지번) 황금동 731-1,35.84879766,128.6205816,황금2동
